seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_chars,spoken_words,written_words,has_letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
11.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.165565885,0.238126929,0.870588235,47.17840792,0.055313039,117.4538352,62059.14667
11.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.16702456,0.245013262,0.956862745,48.06578377,0.054064992,117.4538352,75919.262
11.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.168897272,0.249185475,0.884313725,48.72087207,0.061998661,117.4538352,63950.375
11.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.174037133,0.250619695,0.877124183,50.61835534,0.065561324,117.4538352,85790.32333
11.6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.180560637,0.250202546,0.874509804,51.95385197,0.068295956,117.4538352,94024.9775
11.7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.200860615,0.254799865,0.862745098,59.23132155,0.058330292,117.4538352,225208.1433
11.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.201889647,0.255168789,0.862745098,58.66283624,0.049451629,117.4538352,131173.37
11.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.186997478,0.243285831,0.874509804,51.82512882,0.048214961,117.4538352,169352.615
12,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.196290159,0.25350598,0.866666667,55.6541537,0.046696048,117.4538352,217938.53
12.1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.191643671,0.250319493,0.939215686,53.38772269,0.04585161,117.4538352,282482.97
12.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.176764751,0.223171136,0.900653595,48.64091746,0.042317346,117.4538352,118527.5187
12.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18298445,0.226201534,0.878431373,49.69095834,0.044130859,117.4538352,121349.6275
12.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.187391784,0.242142892,0.880392157,50.81799426,0.042382165,117.4538352,69437.823
12.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.187828603,0.244684606,0.928104575,51.14852377,0.041670907,117.4538352,87068.01333
12.6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.184751154,0.235103443,0.929411765,50.20156577,0.050272881,117.4538352,71229.5225
12.7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.186154709,0.236319766,0.925490196,50.77401817,0.046604776,117.4538352,62495.67833
12.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.188326097,0.245962818,0.945098039,51.64702418,0.042319376,117.4538352,68999.3455
