seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_characters,spoken_words,written_words,letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
5.4,0.5,1.5,1.5,0,0,0,0,0,1,1,2,1,0,0,0.335298871,0.136357417,0.730718954,462.7293486,0.011269557,117.4538352,656223.0467
5.5,0.5,1.5,1.5,0,0,0,0,0,1,1,2,1,0,0,0.334825391,0.146110427,0.729411765,453.3949168,0.020245422,117.4538352,333365.8157
5.6,0.5,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.33439407,0.146403485,0.783006536,443.2239486,0.026293464,117.4538352,250087.6223
5.7,0.5,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.335456702,0.144458128,0.840522876,442.0058657,0.038693968,117.4538352,144944.9567
5.8,0.5,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.335424251,0.148145868,0.962091503,440.7574611,0.063920508,117.4538352,55112.57867
5.9,0.5,1.5,1.5,0,0,0,0,0,1,1,2,1,0,0,0.335805407,0.147368181,0.738562092,440.7688221,0.021823687,117.4538352,59990.23967
6,0.5,1.5,1.5,0,0,0,0,0,1,1,2,1,0,0,0.335229071,0.147001003,0.752941176,440.4701661,0.084044019,117.4538352,83710.81333
6.1,0.5,1.5,1.5,0,0,0,0,0,1,1,2,1,0,0,0.33399106,0.147043195,0.698039216,441.5034764,0.083056601,117.4538352,128692.5143
6.2,0.5,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.335046032,0.147234766,0.683660131,443.2084603,0.017671024,117.4538352,141604.8153
6.3,0.5,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.338393318,0.147658958,0.709803922,446.7888445,0.004895961,117.4538352,127956.6553
6.4,0.5,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.340199862,0.148914432,0.666666667,451.8481965,0.004185651,117.4538352,52603.79867
6.5,0.5,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.340735768,0.148479976,0.720261438,453.4018681,0.022499144,117.4538352,40138.41167
6.6,0.5,1.5,0.5,0,0,0,0,0,1,1,2,1,0,0,0.343834405,0.146243842,0.888888889,479.9741534,0.039107822,117.4538352,556515.6633
6.7,0.5,1,0.5,0,0,0,0,0,1,1,2,1,0,0,0.3515882,0.141488779,0.874509804,524.4682935,0.030339587,117.4538352,919284.8
6.8,0.5,2.5,0.5,0,0,0,0,0,1,1,2,1,0,0,0.347091928,0.105557836,0.80130719,551.9950344,0.019684429,117.4538352,542157.689
6.9,0.5,2.5,0,0,0,0,0,0,1,1,2,1,0,0,0.342539848,0.107100666,0.955555556,533.7047733,0.014448491,117.4538352,176773.5433
7,0.5,2.5,0,1,0,0,0,0,1,1,2,1,0,0,0.340848658,0.116231071,0.88496732,517.9821913,0.006799325,117.4538352,119932.4697
7.1,1.5,2.5,0,2,0,0,0,0,1,1,2,1,0,0,0.342841514,0.128258986,0.883660131,516.2000892,0.007702569,117.4538352,335996.697
7.2,1.5,2,1,2,0,0,0,0,1,1,2,1,0,0,0.345745387,0.137413337,0.918954248,523.3850501,0.008115271,117.4538352,565086.2133
7.3,1.5,2,3,2,0,0,0,0,1,1,2,1,0,0,0.348815015,0.148573481,0.973856209,529.9100187,0.034348297,117.4538352,482222.408
